Mouse,Movement,Movement_type,Start_time,End_time,Duration
walking,1,1,159.4,162.5,3.1
walking,1,1,190.2,193.285,3.085
walking,1,1,213.048,221.71,8.662
walking,1,1,240.9,241.61,0.71
walking,1,1,277.32,288.02,10.7
walking,1,1,489.327,491.01,1.683
walking,1,1,491.85,493.98,2.13
walking,1,1,499.01,528.01,29
walking,1,1,532.02,563.69,31.67
walking,1,1,574.41,577.41,3
walking,1,1,583.13,585.59,2.46
walking,1,1,591.28,594.31,3.03
walking,1,1,598.41,602.61,4.2
walking,1,1,606.72,608.8,2.08
walking,1,1,612.83,613.74,0.91
walking,1,1,630.46,639.73,9.27
walking,1,1,657.42,676.2,18.78
walking,1,1,732.21,736.88,4.67
walking,1,1,740.81,751.42,10.61
walking,1,1,757.81,764.69,6.88
walking,1,1,791.5,793.03,1.53
walking,1,1,889.22,895.78,6.56
walking,1,1,903.86,906.9,3.04
walking,1,1,930.63,934.23,3.6
walking,1,1,936.69,943.01,6.32
walking,1,1,945.39,946,0.61
walking,1,1,951.09,952.88,1.79
walking,1,1,979.19,982.43,3.24
walking,1,1,985.93,995.22,9.29
walking,1,1,1030.51,1032.79,2.28
walking,1,1,1052.2,1054.13,1.93
walking,1,1,1060.12,1069.95,9.83
walking,1,1,1115.94,1117.08,1.14
walking,1,1,1131.65,1134.199,2.549
walking,1,1,1151.75,1155.97,4.22
walking,1,1,1530.1,1545.39,15.29
walking,1,1,1564.18,1565.8,1.62
walking,1,1,1567.52,1579.18,11.66
walking,1,1,1633.17,1635.4,2.23
walking,1,1,1703.73,1708.01,4.28
walking,1,1,1711,1712.54,1.54
walking,1,1,1735.34,1737.03,1.69
walking,1,1,1746.42,1748.54,2.12
no_walking,0,0,0,159.39,159.39
no_walking,0,0,162.5,190.2,27.7
no_walking,0,0,193.29,213.01,19.72
no_walking,0,0,221.734,240.88,19.146
no_walking,0,0,241.62,277.31,35.69
no_walking,0,0,288.034,489.32,201.286
no_walking,0,0,491.05,491.85,0.8
no_walking,0,0,493.98,499.01,5.03
no_walking,0,0,528.01,532.019,4.009
no_walking,0,0,563.718,574.41,10.692
no_walking,0,0,577.42,583.12,5.7
no_walking,0,0,585.6,591.28,5.68
no_walking,0,0,594.32,598.41,4.09
no_walking,0,0,602.62,606.71,4.09
no_walking,0,0,608.869,612.82,3.951
no_walking,0,0,613.75,630.45,16.7
no_walking,0,0,639.74,656.01,16.27
no_walking,0,0,676.2,732.2,56
no_walking,0,0,736.892,740.8,3.908
no_walking,0,0,751.43,757.79,6.36
no_walking,0,0,764.68,791.49,26.81
no_walking,0,0,793.04,889.21,96.17
no_walking,0,0,895.79,903.84,8.05
no_walking,0,0,906.9,930.63,23.73
no_walking,0,0,934.24,936.671,2.431
no_walking,0,0,943.01,945.4,2.39
no_walking,0,0,946.01,951.08,5.07
no_walking,0,0,952.88,979.19,26.31
no_walking,0,0,982.44,985.92,3.48
no_walking,0,0,995.81,1030.462,34.652
no_walking,0,0,1032.79,1052.19,19.4
no_walking,0,0,1054.14,1060.103,5.963
no_walking,0,0,1069.95,1115.93,45.98
no_walking,0,0,1117.09,1131.64,14.55
no_walking,0,0,1134.19,1151.75,17.56
no_walking,0,0,1155.98,1159.687,3.707
no_walking,0,0,1159.687,1530.09,370.403
no_walking,0,0,1545.4,1564.082,18.682
no_walking,0,0,1565.8,1567.51,1.71
no_walking,0,0,1579.18,1633.16,53.98
no_walking,0,0,1635.41,1703.73,68.32
no_walking,0,0,1712.55,1735.33,22.78
no_walking,0,0,1737.03,1746.41,9.38
no_walking,0,0,1748.55,1800.02,51.47
grooming,1,3,172.006,186.5,14.494
grooming,1,3,197.895,210.82,12.925
grooming,1,3,697.35,698.9,1.55
grooming,1,3,710.02,730.52,20.5
grooming,1,3,934.4,936.03,1.63
grooming,1,3,996.35,1004.05,7.7
grooming,1,3,1580.98,1605.72,24.74
grooming,1,3,1757.27,1761.34,4.07
grooming,1,3,1764.92,1793.84,28.92
grooming,1,3,1796.99,1800.03,3.04
sniffing,1,4,241.616,243.52,1.904
sniffing,1,4,493.99,497.82,3.83
sniffing,1,4,613.75,616.82,3.07
sniffing,1,4,895.833,898.02,2.187
sniffing,1,4,900.03,902.35,2.32
rearing,1,2,619.9,627.37,7.47
rearing,1,2,650.887,655.18,4.293
rearing,1,2,680.13,684.51,4.38
rearing,1,2,694.09,697.34,3.25
rearing,1,2,765.76,769.03,3.27
rearing,1,2,1054.14,1057.11,2.97
rearing,1,2,1125.6,1129.11,3.51
licking,1,6,656.02,657.4,1.38
allosniffing,1,5,61.01,64.02,3.01
allosniffing,1,5,127,128.6,1.6
allosniffing,1,5,140.01,141.03,1.02
allosniffing,1,5,143.82,146,2.18
allosniffing,1,5,210.01,211.02,1.01
allosniffing,1,5,232.005,240.02,8.015
allosniffing,1,5,386.3,388.01,1.71
allosniffing,1,5,506.989,517.02,10.031
allosniffing,1,5,519.144,522.01,2.866
allosniffing,1,5,665.019,667.369,2.35
allosniffing,1,5,961.01,975.02,14.01
allosniffing,1,5,1253.995,1256.405,2.41
allosniffing,1,5,1316.998,1354.51,37.512
allosniffing,1,5,1409.01,1413.31,4.3
allosniffing,1,5,1447.704,1454.63,6.926
allosniffing,1,5,1525.848,1527.79,1.942
allosniffing,1,5,1587.959,1599.88,11.921
allosniffing,1,5,1601.03,1614.13,13.1
allolicking,1,8,516.703,516.976,0.273
