Mouse,Movement,Movement_type,Start_time,End_time,Duration
byallosniffing,1,5,9.473,14,4.527
byallosniffing,1,5,14.6,21.473,6.873
byallosniffing,1,5,23.79,26,2.21
byallosniffing,1,5,80.739,83.811,3.072
byallosniffing,1,5,88.1,93.9,5.8
byallosniffing,1,5,104.6,107.02,2.42
byallosniffing,1,5,117.262,123.862,6.6
byallosniffing,1,5,125.71,130.7,4.99
byallosniffing,1,5,133.89,136.71,2.82
byallosniffing,1,5,190.72,192.61,1.89
byallosniffing,1,5,210.2,213.1,2.9
byallosniffing,1,5,268.12,270.22,2.1
byallosniffing,1,5,275.7,277.1,1.4
byallosniffing,1,5,287.703,289.505,1.802
byallosniffing,1,5,294,296.088,2.088
byallosniffing,1,5,334.197,335.781,1.584
byallosniffing,1,5,355.9,359.402,3.502
byallosniffing,1,5,375.416,376.822,1.406
byallosniffing,1,5,376.92,380.24,3.32
byallosniffing,1,5,382.197,385.687,3.49
byallosniffing,1,5,385.81,388.395,2.585
byallosniffing,1,5,393.01,395.197,2.187
byallosniffing,1,5,414.824,418.859,4.035
byallosniffing,1,5,427.19,431.02,3.83
byallosniffing,1,5,435.1,437.979,2.879
byallosniffing,1,5,442.3,444.04,1.74
byallosniffing,1,5,452.27,453.89,1.62
byallosniffing,1,5,483.6,485.5,1.9
byallosniffing,1,5,488,494.929,6.929
byallosniffing,1,5,497.578,502.087,4.509
byallosniffing,1,5,641.1,644.1,3
byallosniffing,1,5,661.1,663.076,1.976
byallosniffing,1,5,668.5,669.777,1.277
byallosniffing,1,5,683.269,684.076,0.807
byallosniffing,1,5,688.5,690.852,2.352
byallosniffing,1,5,800.294,802.676,2.382
byallosniffing,1,5,805.5,810.5,5
byallosniffing,1,5,823.9,826.4,2.5
byallosniffing,1,5,831.4,840.9,9.5
byallosniffing,1,5,846.076,856,9.924
byallosniffing,1,5,893.21,893.988,0.778
byallosniffing,1,5,897.91,900.69,2.78
byallosniffing,1,5,924.235,926.529,2.294
byallosniffing,1,5,932.076,935.461,3.385
byallosniffing,1,5,960.2,967.5,7.3
byallosniffing,1,5,975.538,978.576,3.038
byallosniffing,1,5,979.41,982.7,3.29
byallosniffing,1,5,1050.538,1051.269,0.731
byallosniffing,1,5,1055.038,1058.423,3.385
byallosniffing,1,5,1058.61,1064.52,5.91
byallosniffing,1,5,1099.038,1102.636,3.598
byallosniffing,1,5,1115.038,1119.538,4.5
byallosniffing,1,5,1140.2,1141.823,1.623
byallosniffing,1,5,1146.545,1149.409,2.864
byallosniffing,1,5,1203.999,1206.038,2.039
byallosniffing,1,5,1260.038,1262.076,2.038
byallosniffing,1,5,1263.1,1265.2,2.1
byallosniffing,1,5,1268.4,1270.31,1.91
byallosniffing,1,5,1275.454,1278.363,2.909
byallosniffing,1,5,1319.384,1320.615,1.231
byallosniffing,1,5,1321.538,1327.32,5.782
byallosniffing,1,5,1364.791,1369.94,5.149
byallosniffing,1,5,1423.076,1424.076,1
byallosniffing,1,5,1427.999,1428.999,1
byallosniffing,1,5,1434.923,1436.115,1.192
byallosniffing,1,5,1437.15,1438.45,1.3
byallosniffing,1,5,1451.59,1454.454,2.864
byallosniffing,1,5,1454.63,1458.72,4.09
byallosniffing,1,5,1510.5,1511.573,1.073
byallosniffing,1,5,1518.25,1520.56,2.31
byallosniffing,1,5,1554.65,1556.01,1.36
byallosniffing,1,5,1558.12,1559.4,1.28
byallosniffing,1,5,1583.6,1585.92,2.32
byallosniffing,1,5,1596.23,1599.61,3.38
byallosniffing,1,5,1623.292,1624,0.708
byallosniffing,1,5,1650.92,1656.02,5.1
byallosniffing,1,5,1692,1694.32,2.32
byallosniffing,1,5,1698.117,1699.647,1.53
byallosniffing,1,5,1704.23,1705.076,0.846
byallogrooming,1,7,10.852,12.007,1.155
byallogrooming,1,7,126.852,128.61,1.758
byallogrooming,1,7,377.924,380.018,2.094
byallolicking,1,8,11.836,12.102,0.266
byallolicking,1,8,679.86,682,2.14
byallolicking,1,8,1306.91,1309.43,2.52
bywalking,1,1,7.122,8.771,1.649
bywalking,1,1,9.543,10.807,1.264
bywalking,1,1,21.403,25.157,3.754
bywalking,1,1,36.456,43.14,6.684
bywalking,1,1,54.649,57.736,3.087
bywalking,1,1,71.824,74.007,2.183
bywalking,1,1,78.947,83.842,4.895
bywalking,1,1,98.35,101.157,2.807
bywalking,1,1,107.526,109.21,1.684
bywalking,1,1,117,120.508,3.508
bywalking,1,1,125.701,126.912,1.211
bywalking,1,1,138.403,141.824,3.421
bywalking,1,1,175.6,181.9,6.3
bywalking,1,1,183.6,184.51,0.91
bywalking,1,1,189.102,205.53,16.428
bywalking,1,1,213.602,217.142,3.54
bywalking,1,1,226.877,232.918,6.041
bywalking,1,1,247.489,249.489,2
bywalking,1,1,262.612,271.326,8.714
bywalking,1,1,276.734,287.693,10.959
bywalking,1,1,293.979,296.938,2.959
bywalking,1,1,304.346,307.387,3.041
bywalking,1,1,327.04,328.081,1.041
bywalking,1,1,328.653,329.183,0.53
bywalking,1,1,333.673,337.04,3.367
bywalking,1,1,340.02,341.448,1.428
bywalking,1,1,375.448,378.244,2.796
bywalking,1,1,390.775,395.51,4.735
bywalking,1,1,437.979,439.571,1.592
bywalking,1,1,444.076,445.244,1.168
bywalking,1,1,450.551,453.918,3.367
bywalking,1,1,467.04,468,0.96
bywalking,1,1,486.673,488.04,1.367
bywalking,1,1,504.204,506.673,2.469
bywalking,1,1,594.1,595.6,1.5
bywalking,1,1,639.622,650.226,10.604
bywalking,1,1,662.075,671.243,9.168
bywalking,1,1,674.188,678.396,4.208
bywalking,1,1,683.622,686.71,3.088
bywalking,1,1,692.471,693.207,0.736
bywalking,1,1,795.2,811.7,16.5
bywalking,1,1,827.5,832.4,4.9
bywalking,1,1,841.3,846.7,5.4
bywalking,1,1,853,857.3,4.3
bywalking,1,1,876.7,883.561,6.861
bywalking,1,1,890.2,895.2,5
bywalking,1,1,914.423,918.4,3.977
bywalking,1,1,921.7,924.4,2.7
bywalking,1,1,936.1,960.655,24.555
bywalking,1,1,969.639,970.606,0.967
bywalking,1,1,977.622,978.524,0.902
bywalking,1,1,1045.663,1049.377,3.714
bywalking,1,1,1050.426,1052.994,2.568
bywalking,1,1,1061.573,1066.655,5.082
bywalking,1,1,1071.36,1075,3.64
bywalking,1,1,1089.786,1097.459,7.673
bywalking,1,1,1109.77,1111.983,2.213
bywalking,1,1,1114.587,1119.639,5.052
bywalking,1,1,1141.393,1146.573,5.18
bywalking,1,1,1153.491,1154.803,1.312
bywalking,1,1,1164.704,1168.229,3.525
bywalking,1,1,1177.4,1181.311,3.911
bywalking,1,1,1191.426,1194.032,2.606
bywalking,1,1,1229.654,1232.666,3.012
bywalking,1,1,1257.488,1260.613,3.125
bywalking,1,1,1265.443,1268.806,3.363
bywalking,1,1,1286.318,1288.602,2.284
bywalking,1,1,1304.545,1306.604,2.059
bywalking,1,1,1317.602,1322.772,5.17
bywalking,1,1,1327.329,1328.602,1.273
bywalking,1,1,1333.045,1335.329,2.284
bywalking,1,1,1359.545,1360.579,1.034
bywalking,1,1,1364.328,1365.328,1
bywalking,1,1,1367.671,1370.356,2.685
bywalking,1,1,1375.383,1376.287,0.904
bywalking,1,1,1380.561,1383.809,3.248
bywalking,1,1,1393.808,1395.356,1.548
bywalking,1,1,1422.808,1423.945,1.137
bywalking,1,1,1434.835,1437.164,2.329
bywalking,1,1,1439.671,1442.219,2.548
bywalking,1,1,1454.767,1460.808,6.041
bywalking,1,1,1464.424,1468.054,3.63
bywalking,1,1,1474.767,1478.616,3.849
bywalking,1,1,1486.027,1490.493,4.466
bywalking,1,1,1494.616,1495.657,1.041
bywalking,1,1,1533.452,1538.013,4.561
bywalking,1,1,1543.849,1545.397,1.548
bywalking,1,1,1554.863,1555.424,0.561
bywalking,1,1,1559.438,1563.342,3.904
bywalking,1,1,1565.438,1566.095,0.657
bywalking,1,1,1583.027,1587.643,4.616
bywalking,1,1,1597.027,1601.849,4.822
bywalking,1,1,1611.561,1617.013,5.452
bywalking,1,1,1626.52,1637.274,10.754
bywalking,1,1,1665.356,1676.205,10.849
bywalking,1,1,1697.726,1710.917,13.191
bywalking,1,1,1714.178,1717.164,2.986
bywalking,1,1,1719.561,1720.931,1.37
bywalking,1,1,1723.013,1724.232,1.219
bynotwalking,0,0,0.2,7.1,6.9
bynotwalking,0,0,8.736,9.526,0.79
bynotwalking,0,0,10.807,21.403,10.596
bynotwalking,0,0,25.14,36.438,11.298
bynotwalking,0,0,43.157,54.649,11.492
bynotwalking,0,0,57.736,71.929,14.193
bynotwalking,0,0,74.007,78.947,4.94
bynotwalking,0,0,83.824,98.35,14.526
bynotwalking,0,0,101.157,107.526,6.369
bynotwalking,0,0,109.228,116.964,7.736
bynotwalking,0,0,120.526,125.701,5.175
bynotwalking,0,0,126.902,138.421,11.519
bynotwalking,0,0,141.842,175.5,33.658
bynotwalking,0,0,182,183.6,1.6
bynotwalking,0,0,184.53,189.081,4.551
bynotwalking,0,0,205.53,213.602,8.072
bynotwalking,0,0,217.142,226.877,9.735
bynotwalking,0,0,232.918,247.343,14.425
bynotwalking,0,0,249.51,262.612,13.102
bynotwalking,0,0,271.326,276.755,5.429
bynotwalking,0,0,287.693,293.979,6.286
bynotwalking,0,0,296.959,304.367,7.408
bynotwalking,0,0,307.367,327.04,19.673
bynotwalking,0,0,328.087,328.653,0.566
bynotwalking,0,0,329.183,333.673,4.49
bynotwalking,0,0,337.04,340.02,2.98
bynotwalking,0,0,341.448,375.428,33.98
bynotwalking,0,0,378.265,390.755,12.49
bynotwalking,0,0,395.53,437.947,42.417
bynotwalking,0,0,439.571,444.061,4.49
bynotwalking,0,0,445.244,450.495,5.251
bynotwalking,0,0,453.918,466.917,12.999
bynotwalking,0,0,468.04,486.673,18.633
bynotwalking,0,0,488.04,504.204,16.164
bynotwalking,0,0,506.673,593.7,87.027
bynotwalking,0,0,595.603,639.622,44.019
bynotwalking,0,0,650.239,662.075,11.836
bynotwalking,0,0,671.377,674.188,2.811
bynotwalking,0,0,678.415,683.622,5.207
bynotwalking,0,0,686.735,692.49,5.755
bynotwalking,0,0,693.207,795.1,101.893
bynotwalking,0,0,811.8,826.44,14.64
bynotwalking,0,0,832.5,841.3,8.8
bynotwalking,0,0,846.9,852.8,5.9
bynotwalking,0,0,857.5,876.5,19
bynotwalking,0,0,883.9,890.1,6.2
bynotwalking,0,0,895.3,914.4,19.1
bynotwalking,0,0,918.4,921.6,3.2
bynotwalking,0,0,924.6,936.1,11.5
bynotwalking,0,0,960.672,969.639,8.967
bynotwalking,0,0,970.606,977.622,7.016
bynotwalking,0,0,978.54,1045.672,67.132
bynotwalking,0,0,1049.377,1050.426,1.049
bynotwalking,0,0,1053,1061.573,8.573
bynotwalking,0,0,1066.655,1071.36,4.705
bynotwalking,0,0,1075.016,1089.77,14.754
bynotwalking,0,0,1097.475,1109.77,12.295
bynotwalking,0,0,1111.982,1114.59,2.608
bynotwalking,0,0,1119.639,1141.377,21.738
bynotwalking,0,0,1146.588,1153.491,6.903
bynotwalking,0,0,1154.803,1164.704,9.901
bynotwalking,0,0,1168.213,1177.393,9.18
bynotwalking,0,0,1181.311,1191.426,10.115
bynotwalking,0,0,1194.022,1229.654,35.632
bynotwalking,0,0,1232.666,1257.477,24.811
bynotwalking,0,0,1260.602,1265.443,4.841
bynotwalking,0,0,1268.806,1286.318,17.512
bynotwalking,0,0,1288.602,1304.545,15.943
bynotwalking,0,0,1306.604,1306.609,0.005
bynotwalking,0,0,1306.609,1317.602,10.993
bynotwalking,0,0,1322.772,1327.329,4.557
bynotwalking,0,0,1328.602,1333.034,4.432
bynotwalking,0,0,1335.329,1359.553,24.224
bynotwalking,0,0,1360.59,1364.328,3.738
bynotwalking,0,0,1365.328,1367.677,2.349
bynotwalking,0,0,1370.328,1375.383,5.055
bynotwalking,0,0,1376.301,1380.561,4.26
bynotwalking,0,0,1383.808,1393.808,10
bynotwalking,0,0,1395.356,1422.808,27.452
bynotwalking,0,0,1423.958,1434.822,10.864
bynotwalking,0,0,1437.164,1439.657,2.493
bynotwalking,0,0,1442.219,1454.767,12.548
bynotwalking,0,0,1460.822,1464.411,3.589
bynotwalking,0,0,1468.041,1474.78,6.739
bynotwalking,0,0,1478.616,1486.027,7.411
bynotwalking,0,0,1490.493,1494.616,4.123
bynotwalking,0,0,1495.657,1533.452,37.795
bynotwalking,0,0,1538.013,1543.835,5.822
bynotwalking,0,0,1545.411,1554.876,9.465
bynotwalking,0,0,1555.411,1559.424,4.013
bynotwalking,0,0,1563.342,1565.438,2.096
bynotwalking,0,0,1566.106,1583.027,16.921
bynotwalking,0,0,1587.657,1597,9.343
bynotwalking,0,0,1601.849,1611.561,9.712
bynotwalking,0,0,1617.003,1626.52,9.517
bynotwalking,0,0,1637.287,1665.356,28.069
bynotwalking,0,0,1676.219,1697.726,21.507
bynotwalking,0,0,1710.917,1714.164,3.247
bynotwalking,0,0,1717.164,1719.561,2.397
bynotwalking,0,0,1720.926,1722.822,1.896
bysniffing,1,4,568,581.7,13.7
bysniffing,1,4,651.5,668.3,16.8
bysniffing,1,4,875.719,885.403,9.684
bysniffing,1,4,916.029,924.205,8.176
bysniffing,1,4,937.6,960.2,22.6
bysniffing,1,4,983.1,994,10.9
bysniffing,1,4,1033,1046,13
bysniffing,1,4,1095.1,1099,3.9
bysniffing,1,4,1140,1142.7,2.7
bysniffing,1,4,1169.3,1179.666,10.366
bysniffing,1,4,1184.111,1195.166,11.055
bysniffing,1,4,1226.4,1231.9,5.5
bysniffing,1,4,1254.9,1256.8,1.9
bysniffing,1,4,1268,1270,2
bygrooming,1,3,509.707,553.5,43.793
bygrooming,1,3,562.1,566,3.9
bygrooming,1,3,700.1,788.1,88
bygrooming,1,3,1116.6,1118.4,1.8
bylicking,1,6,343.1,345.6,2.5
bylicking,1,6,553.5,556.4,2.9
