Mouse,Movement,Movement_type,Start_time,End_time,Duration
byallosniffing,1,5,41.044,42.168,1.124
byallosniffing,1,5,58.357,60.214,1.857
byallosniffing,1,5,149.415,150,0.585
byallosniffing,1,5,169.028,169.698,0.67
byallosniffing,1,5,188.6,194.59,5.99
byallosniffing,1,5,203.79,205.86,2.07
byallosniffing,1,5,217.536,218.115,0.579
byallosniffing,1,5,264.951,266.195,1.244
byallosniffing,1,5,267.409,268.772,1.363
byallosniffing,1,5,295.6,297.31,1.71
byallosniffing,1,5,347.1,356.39,9.29
byallosniffing,1,5,395.99,400.12,4.13
byallosniffing,1,5,402.011,403.829,1.818
byallosniffing,1,5,447.71,448.91,1.2
byallosniffing,1,5,450.673,451.529,0.856
byallosniffing,1,5,455.4,457.02,1.62
byallosniffing,1,5,466.8,470.53,3.73
byallosniffing,1,5,490.677,491.38,0.703
byallosniffing,1,5,496.49,497.6,1.11
byallosniffing,1,5,521.476,521.93,0.454
byallogrooming,1,7,396.948,399.064,2.116
bywalking,1,1,0.01,1.71,1.7
bywalking,1,1,4.4,5.511,1.111
bywalking,1,1,11.511,12.822,1.311
bywalking,1,1,17.925,18.71,0.785
bywalking,1,1,24.333,25.444,1.111
bywalking,1,1,31.79,32.71,0.92
bywalking,1,1,40.333,41.022,0.689
bywalking,1,1,61.032,63.02,1.988
bywalking,1,1,65.461,68.012,2.551
bywalking,1,1,70.025,71.02,0.995
bywalking,1,1,71.824,74.584,2.76
bywalking,1,1,79.46,80.33,0.87
bywalking,1,1,91.95,92.609,0.659
bywalking,1,1,95.72,97.219,1.499
bywalking,1,1,150.29,153.365,3.075
bywalking,1,1,167.76,169.512,1.752
bywalking,1,1,174.512,177.32,2.808
bywalking,1,1,181.17,183.292,2.122
bywalking,1,1,191.682,193.268,1.586
bywalking,1,1,204.3,205.955,1.655
bywalking,1,1,261.02,263.121,2.101
bywalking,1,1,265,271.853,6.853
bywalking,1,1,297.56,301.121,3.561
bywalking,1,1,307.731,311.79,4.059
bywalking,1,1,314.463,316.38,1.917
bywalking,1,1,321.951,325.024,3.073
bywalking,1,1,326.483,327.41,0.927
bywalking,1,1,330.048,331.731,1.683
bywalking,1,1,343.048,345.195,2.147
bywalking,1,1,346.511,347.688,1.177
bywalking,1,1,352.95,354.753,1.803
bywalking,1,1,356.287,357.178,0.891
bywalking,1,1,360.041,361.74,1.699
bywalking,1,1,364.973,368.01,3.037
bywalking,1,1,388.488,392.7,4.212
bywalking,1,1,394.5,396.947,2.447
bywalking,1,1,399.6,405.64,6.04
bywalking,1,1,446.77,447.95,1.18
bywalking,1,1,449.27,450.58,1.31
bywalking,1,1,452.72,456.88,4.16
bywalking,1,1,458.32,461.59,3.27
bywalking,1,1,465.18,466.38,1.2
bywalking,1,1,489.181,493.02,3.839
bywalking,1,1,498.627,500.209,1.582
bywalking,1,1,510.98,512.52,1.54
bywalking,1,1,520.675,521.32,0.645
bywalking,1,1,522.012,524,1.988
bywalking,1,1,526.093,528.81,2.717
bywalking,1,1,529.49,530.89,1.4
bywalking,1,1,537.37,539.31,1.94
bywalking,1,1,549.21,551.85,2.64
bywalking,1,1,553.02,556.372,3.352
bynotwalking,0,0,1.738,4.38,2.642
bynotwalking,0,0,5.51,11.47,5.96
bynotwalking,0,0,12.81,17.911,5.101
bynotwalking,0,0,18.711,24.33,5.619
bynotwalking,0,0,25.41,31.6,6.19
bynotwalking,0,0,32.8,40.355,7.555
bynotwalking,0,0,41.1,61.032,19.932
bynotwalking,0,0,63.025,65.461,2.436
bynotwalking,0,0,68.012,70.02,2.008
bynotwalking,0,0,71.019,71.818,0.799
bynotwalking,0,0,74.584,79.461,4.877
bynotwalking,0,0,80.337,91.926,11.589
bynotwalking,0,0,92.59,95.731,3.141
bynotwalking,0,0,97.24,150.292,53.052
bynotwalking,0,0,153.32,167.6,14.28
bynotwalking,0,0,169.6,174.487,4.887
bynotwalking,0,0,177.317,181.195,3.878
bynotwalking,0,0,183.31,191.67,8.36
bynotwalking,0,0,193.26,204.27,11.01
bynotwalking,0,0,206,261.024,55.024
bynotwalking,0,0,263.1,265.024,1.924
bynotwalking,0,0,271.853,297.56,25.707
bynotwalking,0,0,301.088,307.711,6.623
bynotwalking,0,0,311.804,314.463,2.659
bynotwalking,0,0,316.39,321.926,5.536
bynotwalking,0,0,325.024,330,4.976
bynotwalking,0,0,331.78,343,11.22
bynotwalking,0,0,345.2,346.488,1.288
bynotwalking,0,0,347.716,352.926,5.21
bynotwalking,0,0,354.78,356.296,1.516
bynotwalking,0,0,357.178,360.027,2.849
bynotwalking,0,0,361.767,364.976,3.209
bynotwalking,0,0,368.017,388.406,20.389
bynotwalking,0,0,392.709,394.471,1.762
bynotwalking,0,0,396.953,399.5,2.547
bynotwalking,0,0,405.645,432.284,26.639
bynotwalking,0,0,433.104,446.773,13.669
bynotwalking,0,0,447.954,449.272,1.318
bynotwalking,0,0,450.581,452.715,2.134
bynotwalking,0,0,457.09,458.313,1.223
bynotwalking,0,0,461.61,465.18,3.57
bynotwalking,0,0,466.383,489.136,22.753
bynotwalking,0,0,493.029,498.59,5.561
bynotwalking,0,0,500.209,510.982,10.773
bynotwalking,0,0,512.529,520.691,8.162
bynotwalking,0,0,521.311,521.999,0.688
bynotwalking,0,0,524.005,526.061,2.056
bynotwalking,0,0,528.813,529.488,0.675
bynotwalking,0,0,530.889,537.372,6.483
bynotwalking,0,0,539.319,549.22,9.901
bynotwalking,0,0,551.864,553.029,1.165
bysniffing,1,4,3.024,4.487,1.463
bysniffing,1,4,10.731,11.853,1.122
bysniffing,1,4,19.439,23.512,4.073
bysniffing,1,4,85.536,89.951,4.415
bysniffing,1,4,151.512,159.024,7.512
bysniffing,1,4,164.512,172.048,7.536
bysniffing,1,4,194.634,196.402,1.768
bysniffing,1,4,200.682,204.048,3.366
bysniffing,1,4,216.195,220,3.805
bysniffing,1,4,314.768,318.623,3.855
bysniffing,1,4,324.144,326.202,2.058
bysniffing,1,4,339.664,344.188,4.524
bysniffing,1,4,389.507,391.275,1.768
bysniffing,1,4,402.136,406.954,4.818
bysniffing,1,4,440.454,447.227,6.773
bysniffing,1,4,462.363,465.181,2.818
bysniffing,1,4,528.857,539.6,10.743
bygrooming,1,3,124,149.3,25.3
bygrooming,1,3,409.409,432.045,22.636
bygrooming,1,3,436.681,440.318,3.637
bygrooming,1,3,467.272,469.545,2.273
bygrooming,1,3,500.08,508.045,7.965
bylicking,1,6,100.129,121.904,21.775
