Mouse,Movement,Movement_type,Time_start,Time_end,Duration
walking,1,1,0.2,1.6,1.4
walking,1,1,20.6,23.018,2.418
walking,1,1,27.77,30.22,2.45
walking,1,1,127.24,129.33,2.09
walking,1,1,147.39,149.73,2.34
walking,1,1,161.161,163.561,2.4
walking,1,1,173.36,175.32,1.96
walking,1,1,178.211,180.2,1.989
walking,1,1,194.76,196.42,1.66
walking,1,1,314.94,327.85,12.91
walking,1,1,337.71,345,7.29
walking,1,1,363.42,369,5.58
walking,1,1,387.51,389.41,1.9
walking,1,1,414.01,418.01,4
walking,1,1,427.19,429.79,2.6
walking,1,1,437.29,440.12,2.83
walking,1,1,444.92,449.01,4.09
walking,1,1,480.153,486.9,6.747
walking,1,1,499.91,501.02,1.11
walking,1,1,506.355,512.5,6.145
walking,1,1,517.52,519.73,2.21
walking,1,1,521.83,525.5,3.67
walking,1,1,561.017,565.47,4.453
walking,1,1,577.93,582.11,4.18
walking,1,1,593.031,594.99,1.959
walking,1,1,600.38,605.81,5.43
walking,1,1,609.97,612.41,2.44
walking,1,1,620.052,625.08,5.028
walking,1,1,643.51,647.68,4.17
walking,1,1,695.365,700.1,4.735
walking,1,1,782.755,793.02,10.265
walking,1,1,797.56,807.57,10.01
walking,1,1,815.92,823.36,7.44
walking,1,1,827.34,829.41,2.07
walking,1,1,833.81,836,2.19
walking,1,1,885.699,889.01,3.311
walking,1,1,896.13,901.52,5.39
walking,1,1,904.79,911.041,6.251
walking,1,1,913.63,917.63,4
walking,1,1,919.598,921.298,1.7
walking,1,1,930.12,933.43,3.31
walking,1,1,960.32,967.24,6.92
walking,1,1,987.82,988.8,0.98
walking,1,1,996.41,1000.78,4.37
walking,1,1,1014.47,1018.04,3.57
walking,1,1,1033.27,1039.08,5.81
walking,1,1,1049.72,1056.6,6.88
walking,1,1,1062.4,1067.31,4.91
walking,1,1,1073.67,1109.21,35.54
walking,1,1,1136.42,1138.33,1.91
walking,1,1,1154.3,1158.67,4.37
walking,1,1,1177.19,1179.65,2.46
walking,1,1,1184.63,1186.51,1.88
walking,1,1,1189.84,1196,6.16
walking,1,1,1210.39,1212.01,1.62
walking,1,1,1281.83,1288.73,6.9
walking,1,1,1301.52,1308,6.48
walking,1,1,1342.28,1343.95,1.67
walking,1,1,1434.52,1448.03,13.51
walking,1,1,1479.7,1484.79,5.09
walking,1,1,1510.8,1522.09,11.29
walking,1,1,1531.79,1538.94,7.15
walking,1,1,1561.17,1562.38,1.21
walking,1,1,1578.91,1583.31,4.4
no_walking,0,0,1.46,20.59,19.13
no_walking,0,0,23.018,27.76,4.742
no_walking,0,0,30.22,127.23,97.01
no_walking,0,0,139.01,147.38,8.37
no_walking,0,0,149.74,161.05,11.31
no_walking,0,0,163.561,173.35,9.789
no_walking,0,0,175.312,178.22,2.908
no_walking,0,0,180.21,194.76,14.55
no_walking,0,0,196.43,314.94,118.51
no_walking,0,0,369.01,373.02,4.01
no_walking,0,0,385.03,387.5,2.47
no_walking,0,0,389.41,409.81,20.4
no_walking,0,0,418,427.19,9.19
no_walking,0,0,434.21,437.28,3.07
no_walking,0,0,440.138,444.91,4.772
no_walking,0,0,449.02,480.01,30.99
no_walking,0,0,486.91,499.9,12.99
no_walking,0,0,501.03,506.35,5.32
no_walking,0,0,512.51,517.51,5
no_walking,0,0,519.753,521.83,2.077
no_walking,0,0,525.51,561,35.49
no_walking,0,0,565.411,577.911,12.5
no_walking,0,0,582.11,593.02,10.91
no_walking,0,0,595,600.37,5.37
no_walking,0,0,605.81,609.97,4.16
no_walking,0,0,612.41,620.08,7.67
no_walking,0,0,625.124,643.51,18.386
no_walking,0,0,647.69,695.32,47.63
no_walking,0,0,700.11,782.76,82.65
no_walking,0,0,793.031,797.4,4.369
no_walking,0,0,807.58,815.9,8.32
no_walking,0,0,823.366,827.33,3.964
no_walking,0,0,829.41,833.81,4.4
no_walking,0,0,836.01,885.67,49.66
no_walking,0,0,889.02,896.12,7.1
no_walking,0,0,901.6,904.7,3.1
no_walking,0,0,911.039,913.62,2.581
no_walking,0,0,917.798,919.598,1.8
no_walking,0,0,921.21,930.11,8.9
no_walking,0,0,933.44,960.31,26.87
no_walking,0,0,967.239,987.81,20.571
no_walking,0,0,990.93,996.41,5.48
no_walking,0,0,1000.79,1014.46,13.67
no_walking,0,0,1018.04,1033.26,15.22
no_walking,0,0,1039.09,1049.72,10.63
no_walking,0,0,1056.61,1062.39,5.78
no_walking,0,0,1067.32,1073.66,6.34
no_walking,0,0,1109.205,1136.42,27.215
no_walking,0,0,1138.34,1154.29,15.95
no_walking,0,0,1158.664,1177.18,18.516
no_walking,0,0,1179.65,1184.62,4.97
no_walking,0,0,1186.52,1189.83,3.31
no_walking,0,0,1196.017,1210.38,14.363
no_walking,0,0,1212.02,1281.82,69.8
no_walking,0,0,1288.73,1301.51,12.78
no_walking,0,0,1308,1342.27,34.27
no_walking,0,0,1343.96,1434.51,90.55
no_walking,0,0,1448.04,1479.7,31.66
no_walking,0,0,1484.8,1510.55,25.75
no_walking,0,0,1522.1,1531.78,9.68
no_walking,0,0,1538.94,1561.16,22.22
no_walking,0,0,1562.39,1578.91,16.52
no_walking,0,0,1583.32,1590.53,7.21
rearing,1,2,4.31,7.39,3.08
rearing,1,2,8.119,12.4,4.281
rearing,1,2,16.95,20.59,3.64
rearing,1,2,129.34,139,9.66
rearing,1,2,327.858,330.02,2.162
rearing,1,2,332.51,334.18,1.67
rearing,1,2,334.62,335.888,1.268
rearing,1,2,429.8,434.2,4.4
rearing,1,2,587.67,592.14,4.47
rearing,1,2,595,597.182,2.182
rearing,1,2,627.717,630.71,2.993
rearing,1,2,652.74,655.03,2.29
rearing,1,2,734.05,742.2,8.15
rearing,1,2,753.21,758.32,5.11
rearing,1,2,901.52,904.78,3.26
rearing,1,2,917.63,921.2,3.57
rearing,1,2,967.25,971.88,4.63
rearing,1,2,988.777,990.92,2.143
grooming,1,3,346.81,363.41,16.6
grooming,1,3,373.02,385.02,12
grooming,1,3,565.476,577.93,12.454
grooming,1,3,582.12,587.52,5.4
sniffing,1,4,612.398,617.71,5.312
sniffing,1,4,1158.672,1168.04,9.368
allosniffing,1,5,1.64,4.55,2.91
allosniffing,1,5,15.38,22.72,7.34
allosniffing,1,5,250.51,251.51,1
allosniffing,1,5,254.43,256.68,2.25
allosniffing,1,5,265.7,269.18,3.48
allosniffing,1,5,305.71,307.81,2.1
allosniffing,1,5,365.154,368,2.846
allosniffing,1,5,525.024,526.84,1.816
allosniffing,1,5,617.82,619.524,1.704
allosniffing,1,5,1089.9,1094.54,4.64
allosniffing,1,5,1148.562,1154.12,5.558
allosniffing,1,5,1339.24,1346.35,7.11
