Mouse,Movement,Movement_type,Start_time,End_time,Duration
caprearing,1,2,278.686,280.4,1.714
caprearing,1,2,300.05,303.23,3.18
caprearing,1,2,394.5,399.5,5
caprearing,1,2,1097.47,1100.92,3.45
caprearing,1,2,1132.01,1134.2,2.19
caprearing,1,2,1282.636,1285.5,2.864
caprearing,1,2,1359.55,1362.71,3.16
caprearing,1,2,1426.21,1428.6,2.39
caprearing,1,2,1643.88,1646.04,2.16
caprearing,1,2,1684.993,1687.94,2.947
caprearing,1,2,1693.212,1694.314,1.102
caprearing,1,2,1696.36,1699.29,2.93
caprearing,1,2,1701.35,1704.18,2.83
capwalking,1,1,13.707,14.7,0.993
capwalking,1,1,16.707,18.68,1.973
capwalking,1,1,38.83,41.51,2.68
capwalking,1,1,45.6,47.906,2.306
capwalking,1,1,87.98,90.02,2.04
capwalking,1,1,101.37,103.504,2.134
capwalking,1,1,274.25,277.129,2.879
capwalking,1,1,282.82,300.04,17.22
capwalking,1,1,306.55,308.21,1.66
capwalking,1,1,389.57,400.51,10.94
capwalking,1,1,667.846,686.61,18.764
capwalking,1,1,811.36,814.1,2.74
capwalking,1,1,820.864,826.14,5.276
capwalking,1,1,853.88,856.17,2.29
capwalking,1,1,1090.59,1097.46,6.87
capwalking,1,1,1112.22,1125.53,13.31
capwalking,1,1,1165.019,1168.21,3.191
capwalking,1,1,1256.57,1273.01,16.44
capwalking,1,1,1275.41,1283.02,7.61
capwalking,1,1,1302.63,1305.05,2.42
capwalking,1,1,1345.48,1347.42,1.94
capwalking,1,1,1350.515,1352.19,1.675
capwalking,1,1,1364.56,1365.32,0.76
capwalking,1,1,1367.67,1370.33,2.66
capwalking,1,1,1419.2,1426.2,7
capwalking,1,1,1428.62,1442.7,14.08
capwalking,1,1,1446.31,1447.23,0.92
capwalking,1,1,1506.45,1514.78,8.33
capwalking,1,1,1623.47,1633.52,10.05
capwalking,1,1,1638.741,1643.87,5.129
capwalking,1,1,1652.75,1657.53,4.78
capwalking,1,1,1663.2,1675.83,12.63
capwalking,1,1,1679.13,1682.24,3.11
capwalking,1,1,1691.95,1696.36,4.41
capwalking,1,1,1707.07,1710.9,3.83
capnotwalking,0,0,0.1,13.69,13.69
capnotwalking,0,0,14.68,16.699,2.019
capnotwalking,0,0,18.69,38.82,20.13
capnotwalking,0,0,41.51,45.59,4.08
capnotwalking,0,0,47.906,87.97,40.064
capnotwalking,0,0,90.03,101.36,11.33
capnotwalking,0,0,103.51,274.24,170.73
capnotwalking,0,0,277.129,282.81,5.681
capnotwalking,0,0,303.24,306.539,3.299
capnotwalking,0,0,308.22,389.56,81.34
capnotwalking,0,0,400.51,667.846,267.336
capnotwalking,0,0,686.62,811.34,124.72
capnotwalking,0,0,814.12,820.87,6.75
capnotwalking,0,0,826.145,853.87,27.725
capnotwalking,0,0,856.18,1090.57,234.39
capnotwalking,0,0,1100.92,1112.21,11.29
capnotwalking,0,0,1125.54,1132,6.46
capnotwalking,0,0,1134.227,1165.02,30.793
capnotwalking,0,0,1168.21,1256.56,88.35
capnotwalking,0,0,1273.02,1275.41,2.39
capnotwalking,0,0,1283.03,1302.62,19.59
capnotwalking,0,0,1305.06,1345.48,40.42
capnotwalking,0,0,1347.42,1350.515,3.095
capnotwalking,0,0,1352.21,1364.55,12.34
capnotwalking,0,0,1365.33,1367.66,2.33
capnotwalking,0,0,1370.34,1419.19,48.85
capnotwalking,0,0,1442.71,1446.3,3.59
capnotwalking,0,0,1447.24,1506.45,59.21
capnotwalking,0,0,1514.79,1623.46,108.67
capnotwalking,0,0,1633.535,1638.74,5.205
capnotwalking,0,0,1643.89,1652.75,8.86
capnotwalking,0,0,1657.566,1663.2,5.634
capnotwalking,0,0,1675.83,1679.12,3.29
capnotwalking,0,0,1682.24,1691.94,9.7
capnotwalking,0,0,1696.37,1707.06,10.69
capnotwalking,0,0,1710.9,1724.21,13.31
capgrooming,1,3,103.523,114,10.477
