Mouse,Movement,Movement_type,Start_time,End_time,Duration
bywalking,1,1,1.23,4.63,3.4
bywalking,1,1,7.79,10.63,2.84
bywalking,1,1,16.17,19.62,3.45
bywalking,1,1,21.868,23.45,1.582
bywalking,1,1,29.88,31.48,1.6
bywalking,1,1,213.558,217.19,3.632
bywalking,1,1,228.12,240.09,11.97
bywalking,1,1,245.378,248.28,2.902
bywalking,1,1,281.29,286.85,5.56
bywalking,1,1,302.975,307.84,4.865
bywalking,1,1,342.42,345.57,3.15
bywalking,1,1,410.92,425.77,14.85
bywalking,1,1,449.736,453.72,3.984
bywalking,1,1,457.11,461.69,4.58
bywalking,1,1,466.1,467.67,1.57
bywalking,1,1,544.81,545.99,1.18
bywalking,1,1,566.084,568.26,2.176
bywalking,1,1,575.32,576.42,1.1
bywalking,1,1,579.9,584.06,4.16
bywalking,1,1,588.75,592.95,4.2
bywalking,1,1,682.57,685.695,3.125
bywalking,1,1,688.89,690.896,2.006
bywalking,1,1,705.19,707.46,2.27
bywalking,1,1,713.73,714.74,1.01
bywalking,1,1,843.259,844.78,1.521
bywalking,1,1,847.13,848.92,1.79
bywalking,1,1,851.506,853.31,1.804
bywalking,1,1,855.91,857.73,1.82
bywalking,1,1,859.16,860.731,1.571
bywalking,1,1,863.202,865.26,2.058
bywalking,1,1,906.5,907.81,1.31
bywalking,1,1,911.42,913.92,2.5
bywalking,1,1,915.87,917.02,1.15
bywalking,1,1,923.523,925.23,1.707
bywalking,1,1,932.82,934.2,1.38
bywalking,1,1,995.46,998.787,3.327
bywalking,1,1,1005.06,1006.71,1.65
bywalking,1,1,1010.65,1013.92,3.27
bywalking,1,1,1017.4,1020.19,2.79
bywalking,1,1,1023.53,1025.59,2.06
bywalking,1,1,1148.61,1156.43,7.82
bywalking,1,1,1214.54,1215.96,1.42
bywalking,1,1,1227.83,1231.07,3.24
bywalking,1,1,1238.45,1241,2.55
bywalking,1,1,1337.63,1339.64,2.01
bywalking,1,1,1341.448,1342.899,1.451
