Mouse,Movement,Movement_type,Start_time,End_time,Duration
bywalking,1,1,4.304,35.11,30.806
bywalking,1,1,46.92,49.045,2.125
bywalking,1,1,52.08,55.427,3.347
bywalking,1,1,81.36,86.371,5.011
bywalking,1,1,96.01,103.68,7.67
bywalking,1,1,135.25,139.381,4.131
bywalking,1,1,149.24,152.72,3.48
bywalking,1,1,154.383,158.89,4.507
bywalking,1,1,172.295,178.7,6.405
bywalking,1,1,214.49,218.1,3.61
bywalking,1,1,221.35,228.66,7.31
bywalking,1,1,237.638,242.39,4.752
bywalking,1,1,294.69,297.99,3.3
bywalking,1,1,314.684,326.35,11.666
bywalking,1,1,486.635,500.1,13.465
bywalking,1,1,508.25,514.723,6.473
bywalking,1,1,536.021,541.07,5.049
bywalking,1,1,549.436,564.81,15.374
bywalking,1,1,572.32,584.54,12.22
bywalking,1,1,601.69,607.67,5.98
bywalking,1,1,615.161,627.83,12.669
bywalking,1,1,636.912,645.232,8.32
bywalking,1,1,652.987,656.76,3.773
bywalking,1,1,662.465,663.32,0.855
bywalking,1,1,714.617,720.99,6.373
bywalking,1,1,833.946,838,4.054
bywalking,1,1,875.883,892.19,16.307
bynotwalking,0,0,0.01,4.28,4.28
bynotwalking,0,0,35.12,46.94,11.82
bynotwalking,0,0,49.03,52.11,3.08
bynotwalking,0,0,55.44,81.35,25.91
bynotwalking,0,0,86.38,95.99,9.61
bynotwalking,0,0,103.67,135.27,31.6
bynotwalking,0,0,139.38,149.25,9.87
bynotwalking,0,0,152.73,154.376,1.646
bynotwalking,0,0,158.898,172.32,13.422
bynotwalking,0,0,178.73,214.48,35.75
bynotwalking,0,0,218.11,221.34,3.23
bynotwalking,0,0,228.66,237.65,8.99
bynotwalking,0,0,242.4,294.72,52.32
bynotwalking,0,0,298.001,314.67,16.669
bynotwalking,0,0,326.36,486.62,160.26
bynotwalking,0,0,500.09,508.26,8.17
bynotwalking,0,0,514.71,536.03,21.32
bynotwalking,0,0,541.08,549.43,8.35
bynotwalking,0,0,564.8,572.33,7.53
bynotwalking,0,0,584.63,601.71,17.08
bynotwalking,0,0,607.656,615.16,7.504
bynotwalking,0,0,627.85,636.9,9.05
bynotwalking,0,0,645.21,652.97,7.76
bynotwalking,0,0,656.77,662.46,5.69
bynotwalking,0,0,663.335,714.61,51.275
bynotwalking,0,0,721.014,833.971,112.957
bynotwalking,0,0,838.019,875.89,37.871
bynotwalking,0,0,892.2,901.96,9.76
bysniffing,1,4,54.622,88.63,34.008
bysniffing,1,4,97.541,110.3,12.759
bysniffing,1,4,117.96,126.92,8.96
bysniffing,1,4,305.905,313.149,7.244
bysniffing,1,4,318.825,329.501,10.676
bysniffing,1,4,349.2,361.552,12.352
bysniffing,1,4,472.641,499.35,26.709
bysniffing,1,4,510.474,517.624,7.15
bysniffing,1,4,537.847,544.55,6.703
bysniffing,1,4,548.9,554.65,5.75
bysniffing,1,4,578.801,580.81,2.009
bysniffing,1,4,589.338,603.74,14.402
bysniffing,1,4,633.643,650.63,16.987
bysniffing,1,4,667.94,717.58,49.64
bysniffing,1,4,725.47,754.22,28.75
bysniffing,1,4,770.824,783.6,12.776
bysniffing,1,4,810.974,829.58,18.606
bysniffing,1,4,838.531,848.14,9.609
bysniffing,1,4,877.179,901.95,24.771
bygrooming,1,3,262.86,267.47,4.61
bygrooming,1,3,268.98,281.64,12.66
bygrooming,1,3,286.9,291.02,4.12
byrearing,1,2,67.43,75.208,7.778
byrearing,1,2,84.15,88.22,4.07
byrearing,1,2,178.9,183.75,4.85
byrearing,1,2,230.164,233.495,3.331
byrearing,1,2,297.916,302.802,4.886
byrearing,1,2,326.811,330.73,3.919
byrearing,1,2,493.04,496.001,2.961
byrearing,1,2,565.65,570.461,4.811
byrearing,1,2,644.444,651.298,6.854
byrearing,1,2,656.911,661.338,4.427
byrearing,1,2,722.015,727.45,5.435
byrearing,1,2,738.605,743.237,4.632
byrearing,1,2,876.502,882.69,6.188
byallosniffing,1,7,17.638,23.218,5.58
byallosniffing,1,7,48.55,51.21,2.66
byallosniffing,1,7,225.053,235.03,9.977
byallosniffing,1,7,314.27,316.732,2.462
byallosniffing,1,7,462.57,465.09,2.52
byallosniffing,1,7,531.719,535.28,3.561
byallosniffing,1,7,553.441,559.77,6.329
byallosniffing,1,7,652.662,655.455,2.793
byallosniffing,1,7,721.634,728.455,6.821
byallosniffing,1,7,829.08,835.97,6.89
byallosniffing,1,7,852.204,863.63,11.426
