Mouse,Movement,Movement_type,Start_time,End_time,Duration
capwalking,1,1,15.959,21.55,5.591
capwalking,1,1,22.987,23.76,0.773
capwalking,1,1,34.37,37.22,2.85
capwalking,1,1,46.27,48.329,2.059
capwalking,1,1,67.645,72.26,4.615
capwalking,1,1,73.342,76.39,3.048
capwalking,1,1,91.867,93.39,1.523
capwalking,1,1,134.04,136.63,2.59
capwalking,1,1,139.619,142.33,2.711
capwalking,1,1,147.32,149.193,1.873
capwalking,1,1,158.14,159.75,1.61
capwalking,1,1,171.913,173.75,1.837
capwalking,1,1,179.86,182.49,2.63
capwalking,1,1,185.97,188.23,2.26
capwalking,1,1,214.6,217.03,2.43
capwalking,1,1,226.77,228.81,2.04
capwalking,1,1,234.383,237.06,2.677
capwalking,1,1,238.51,240.31,1.8
capwalking,1,1,243.63,246.53,2.9
capwalking,1,1,272.94,275.28,2.34
capwalking,1,1,289.147,295.12,5.973
capwalking,1,1,338.87,348.11,9.24
capwalking,1,1,400.371,409.98,9.609
capwalking,1,1,412.001,415.43,3.429
capwalking,1,1,499.17,499.96,0.79
capwalking,1,1,510.03,514.15,4.12
capwalking,1,1,542.68,545.96,3.28
capwalking,1,1,548.6,565.89,17.29
capwalking,1,1,582.056,585.98,3.924
capwalking,1,1,595.789,607.09,11.301
capwalking,1,1,615.114,622.91,7.796
capwalking,1,1,627.96,637.11,9.15
capwalking,1,1,793.04,795.37,2.33
capwalking,1,1,826.714,834.79,8.076
capwalking,1,1,860.637,863.2,2.563
capwalking,1,1,882.434,902.08,19.646
capnotwalking,0,0,0.797,15.97,15.173
capnotwalking,0,0,21.56,23.01,1.45
capnotwalking,0,0,23.757,34.37,10.613
capnotwalking,0,0,37.23,46.29,9.06
capnotwalking,0,0,48.32,67.64,19.32
capnotwalking,0,0,72.27,73.33,1.06
capnotwalking,0,0,76.4,91.85,15.45
capnotwalking,0,0,93.38,134.04,40.66
capnotwalking,0,0,136.63,139.63,3
capnotwalking,0,0,142.346,147.32,4.974
capnotwalking,0,0,149.21,158.16,8.95
capnotwalking,0,0,159.75,171.92,12.17
capnotwalking,0,0,173.73,179.87,6.14
capnotwalking,0,0,182.5,185.97,3.47
capnotwalking,0,0,188.22,214.59,26.37
capnotwalking,0,0,217.02,226.78,9.76
capnotwalking,0,0,228.813,234.4,5.587
capnotwalking,0,0,237.06,238.51,1.45
capnotwalking,0,0,240.313,243.65,3.337
capnotwalking,0,0,246.53,272.96,26.43
capnotwalking,0,0,275.28,289.14,13.86
capnotwalking,0,0,295.13,338.87,43.74
capnotwalking,0,0,348.09,400.383,52.293
capnotwalking,0,0,410,412.01,2.01
capnotwalking,0,0,415.433,499.17,83.737
capnotwalking,0,0,499.97,510.02,10.05
capnotwalking,0,0,514.16,542.691,28.531
capnotwalking,0,0,545.97,548.63,2.66
capnotwalking,0,0,565.9,582.05,16.15
capnotwalking,0,0,585.98,595.763,9.783
capnotwalking,0,0,607.11,615.14,8.03
capnotwalking,0,0,622.94,627.96,5.02
capnotwalking,0,0,637.11,793.05,155.94
capnotwalking,0,0,795.35,826.73,31.38
capnotwalking,0,0,834.855,860.657,25.802
capnotwalking,0,0,863.21,882.42,19.21
capsniffing,1,4,56.268,66.34,10.072
capsniffing,1,4,75.37,89.72,14.35
capsniffing,1,4,137.083,165.34,28.257
capsniffing,1,4,171.006,180.68,9.674
capsniffing,1,4,237.954,258.22,20.266
capsniffing,1,4,270.613,272.51,1.897
capsniffing,1,4,321.253,325.5,4.247
capsniffing,1,4,732.9,736.39,3.49
capsniffing,1,4,802.67,813.8,11.13
capsniffing,1,4,891.31,901.732,10.422
capgrooming,1,3,95.502,100.8,5.298
capgrooming,1,3,104.44,107.38,2.94
capgrooming,1,3,702.546,720.285,17.739
caplicking,1,6,796.9,799.83,2.93
caplicking,1,6,833.26,837.47,4.21
caprearing,1,2,240.33,243.84,3.51
caprearing,1,2,247.15,249.05,1.9
capallosniffing,1,5,17.186,20.647,3.461
capallosniffing,1,5,46.15,52.53,6.38
capallosniffing,1,5,125.22,126.16,0.94
capallosniffing,1,5,130.571,132.49,1.919
capallosniffing,1,5,166.45,167.96,1.51
capallosniffing,1,5,197.228,199.57,2.342
capallosniffing,1,5,211.073,213.61,2.537
capallosniffing,1,5,223.057,234.07,11.013
capallosniffing,1,5,275.171,282.45,7.279
capallosniffing,1,5,302.9,311.09,8.19
capallosniffing,1,5,326.96,329.12,2.16
capallosniffing,1,5,334.062,337.99,3.928
capallosniffing,1,5,343.867,347.235,3.368
capallosniffing,1,5,365.31,368.14,2.83
capallosniffing,1,5,375.422,378.01,2.588
capallosniffing,1,5,395.37,395.75,0.38
capallosniffing,1,5,402.059,402.51,0.451
capallosniffing,1,5,408.12,411.13,3.01
capallosniffing,1,5,431.72,434.75,3.03
capallosniffing,1,5,443.35,447.18,3.83
capallosniffing,1,5,502.32,511.584,9.264
capallosniffing,1,5,517.372,518.88,1.508
capallosniffing,1,5,544.583,548.62,4.037
capallosniffing,1,5,654.014,664.94,10.926
capallosniffing,1,5,679.476,688.08,8.604
capallosniffing,1,5,722.093,728.27,6.177
capallosniffing,1,5,761.219,768.88,7.661
capallosniffing,1,5,780.593,790.56,9.967
capallosniffing,1,5,820.952,826.39,5.438
capallosniffing,1,5,851.924,862.79,10.866
capallosniffing,1,5,882.287,891.99,9.703
capallosniffing,1,5,896.35,897.16,0.81
